Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",80.600000,-93.000000,0.000000,top
"C2","1uF","C_0603_1608Metric",135.140000,-41.020000,0.000000,top
"C3","1uF Cer","C_0603_1608Metric",136.500000,-38.750000,-90.000000,top
"C4","100n","C_0402_1005Metric",132.650000,-41.100000,180.000000,top
"C5","10uF","C_0603_1608Metric",120.900000,-52.450000,90.000000,top
"C6","100n","C_0402_1005Metric",126.500000,-40.700000,0.000000,top
"C7","100n","C_0402_1005Metric",122.350000,-51.900000,90.000000,top
"C8","100n","C_0402_1005Metric",138.750000,-52.350000,-90.000000,top
"C9","100n","C_0402_1005Metric",137.500000,-43.850000,-90.000000,top
"C10","1uF","C_0603_1608Metric",134.550000,-56.800000,-90.000000,top
"C11","100n","C_0402_1005Metric",133.150000,-56.250000,-90.000000,top
"C12","1uF Cer","C_0603_1608Metric",140.900000,-35.300000,180.000000,top
"C13","C382724 33pF","C_0402_1005Metric",125.200000,-57.600000,180.000000,top
"C14","C382724 33pF","C_0402_1005Metric",127.900000,-57.550000,180.000000,top
"C15","4.7uF","C_0603_1608Metric",138.450000,-46.250000,0.000000,top
"C16","100n","C_0402_1005Metric",124.955000,-55.800000,180.000000,top
"D1","C2286 PWR","LED_0603_1608Metric",85.000000,-96.300000,90.000000,top
"D2","C2286 USR","LED_0603_1608Metric",90.000000,-96.300000,90.000000,top
"FID1","Fiducial","Fiducial_0.75mm_Mask2.25mm",42.720000,-45.350000,0.000000,top
"FID2","Fiducial","Fiducial_0.75mm_Mask2.25mm",43.750000,-134.550000,0.000000,top
"FID3","Fiducial","Fiducial_0.75mm_Mask2.25mm",247.200000,-134.550000,0.000000,top
"FID4","Fiducial","Fiducial_0.5mm_Mask1mm",135.850000,-54.350000,0.000000,top
"FID5","Fiducial","Fiducial_0.5mm_Mask1mm",124.150000,-42.650000,0.000000,top
"J1","C2977719 miniUSBb","JLC_MINI-USB-SMD",128.900000,-35.150000,180.000000,top
"J2","Conn_01x06","PinHeader_1x06_P2.54mm_Horizontal",199.725000,-104.050000,0.000000,top
"J4","Conn_01x05","PinHeader_1x05_P2.54mm_Horizontal",106.375000,-105.425000,-90.000000,top
"R1","C163810 10k","R_0402_1005Metric",80.600000,-91.700000,180.000000,top
"R2","C163810 10k","R_0402_1005Metric",66.500000,-89.200000,-90.000000,top
"R3","C226821 180R","R_0402_1005Metric",85.000000,-92.825000,-90.000000,top
"R4","C226821 180R","R_0402_1005Metric",90.000000,-92.825000,90.000000,top
"SW1","C455091","SW_PUSH_6mm_H5mm",55.500000,-43.000000,90.000000,top
"SW2","SW_Push","Kailh_socket_PG1350_optional",58.225000,-65.050000,0.000000,top
"SW3","SW_Push","Kailh_socket_PG1350_optional",175.420000,-53.580000,0.000000,top
"SW4","SW_Push","Kailh_socket_PG1350_optional",169.860000,-85.040000,0.000000,top
"SW5","C455091","SW_PUSH_6mm_H5mm",65.500000,-43.000000,90.000000,top
"SW6","SW_Push","Kailh_socket_PG1350_optional",87.320000,-65.170000,0.000000,top
"SW7","SW_Push","Kailh_socket_PG1350_optional",204.390000,-53.460000,0.000000,top
"SW8","SW_Push","Kailh_socket_PG1350_optional",198.710000,-85.040000,0.000000,top
"SW9","C455091","SW_PUSH_6mm_H5mm",75.500000,-43.000000,90.000000,top
"SW10","C2985742","JLC_TactSW_Low-profile",74.500000,-94.750000,-90.000000,top
"SW11","C455091","SW_PUSH_6mm_H5mm",88.500000,-43.000000,90.000000,top
"SW12","SW_Push","Kailh_socket_PG1350_optional",113.920000,-76.520000,0.000000,top
"SW13","SW_Push","Kailh_socket_PG1350_optional",233.360000,-53.700000,0.000000,top
"SW14","SW_Push","Kailh_socket_PG1350_optional",227.920000,-85.040000,0.000000,top
"SW15","C455091","SW_PUSH_6mm_H5mm",98.500000,-43.000000,90.000000,top
"SW16","SW_Push","Kailh_socket_PG1350_optional",148.860000,-65.110000,0.000000,top
"SW17","SW_Push","Kailh_socket_PG1350_optional",143.250000,-96.150000,0.000000,top
"SW18","SW_Push","Kailh_socket_PG1350_optional",131.420000,-129.620000,0.000000,top
"SW19","C455091","SW_PUSH_6mm_H5mm",108.500000,-43.000000,90.000000,top
"U1","C3008585 bootselSW","JLC_SW-SMD",65.800000,-93.250000,180.000000,top
"U2","C603505 NCP115ASN330T2G LDO","SOT95P275X110-5N",140.500000,-38.000000,0.000000,top
"U3","STM32F446RCT6","STM32F446RCT6",130.000000,-48.500000,90.000000,top
"U4","DM-OLED096-636","MODULE_DM-OLED096-636",214.800000,-134.312500,0.000000,top
"Y1"," C115962 8MHz","Crystal_SMD_5032-2Pin_5.0x3.2mm",126.900000,-60.150000,180.000000,top
